timestamp,question,first_seen,submit,confidence,guess,guess_type
1741245322399000,0,0,,3,False,
1741245365207000,0,,True,3,False,
1741245365208000,1,1,,3,False,
1741245374178000,1,,True,3,False,
1741245374179000,2,2,,5,False,
1741245403410000,1,,,3,False,
1741245406459000,2,,,5,False,
1741245420931000,2,,True,5,False,
1741245420932000,3,3,,5,False,
1741245433011000,4,,True,4,False,
1741245433012000,4,4,,4,False,
1741245493170000,4,,True,4,False,
1741245493171000,5,5,,5,False,
1741245522595000,5,,True,5,False,
1741245522596000,6,6,,3,True,intellectual
1741245531890000,5,,,5,False,
1741245532762000,6,,,3,True,intellectual
1741245561284000,6,,,3,True,intellectual
1741245568931000,7,7,,3,True,intellectual
1741245570501000,6,,,3,True,intellectual
1741245576442000,7,,,3,True,intellectual
1741245581506000,11,,,5,False,
1741245581507000,11,11,,5,False,
1741245582834000,8,,,2,True,random
1741245582835000,8,8,,2,True,random
1741245584234000,9,,,5,False,
1741245584235000,9,9,,5,False,
1741245585466000,10,,,5,False,
1741245585467000,10,10,,5,False,
1741245586978000,7,,,3,True,intellectual
1741245592267000,6,,,3,True,intellectual
1741245593785000,6,,True,3,True,intellectual
1741245593786000,7,,,3,True,intellectual
1741245595266000,7,,,3,True,intellectual
1741245629662000,7,,,3,True,intellectual
1741245631586000,8,,,2,True,random
1741245664206000,9,,True,5,False,
1741245678253000,9,,,5,False,
1741245679714000,10,,,5,False,
1741245691852000,11,,True,5,False,
1741245765306000,11,,True,5,False,
1741245765307000,12,12,,4,False,
1741245821938000,12,,True,4,False,
1741245821939000,13,13,,3,False,
1741245826210000,7,,,3,True,intellectual
1741245828282000,7,,True,3,True,intellectual
1741245828283000,8,,,2,True,random
1741245830269000,9,,,5,False,
1741245831929000,9,,True,5,False,
1741245831930000,10,,,5,False,
1741245833331000,13,,,3,False,
1741245837429000,19,19,,5,False,
1741245838914000,20,,,3,False,
1741245838915000,20,20,,3,False,
1741245847506000,20,,True,3,False,
1741245847507000,21,21,,2,True,strategic
1741245895282000,21,,True,2,True,strategic
1741245895283000,22,22,,5,False,
1741245903859000,13,,,3,False,
1741246027642000,13,,True,3,False,
1741246027643000,14,14,,5,False,
1741246038702000,14,,True,5,False,
1741246038703000,15,15,,3,True,strategic
1741246077770000,19,,,5,False,
1741246079805000,16,,,5,False,
1741246079806000,16,16,,5,False,
1741246080786000,17,17,,3,True,intellectual
1741246098916000,18,,True,1,True,random
1741246098917000,18,18,,1,True,random
1741246100818000,16,,,5,False,
1741246105418000,15,,,3,True,strategic
1741246119669000,15,,True,3,True,strategic
1741246119670000,16,,,5,False,
1741246128906000,20,,,3,False,
1741246132702000,16,,,5,False,
1741246135994000,18,,,1,True,random
1741246140482000,19,,,5,False,
1741246141546000,18,,,1,True,random
1741246143082000,16,,,5,False,
1741246151727000,18,,,1,True,random
1741246190437000,18,,True,1,True,random
1741246190438000,19,,,5,False,
1741246226629000,22,,,5,False,
1741246231502000,23,23,,5,False,
1741246280010000,23,,True,5,False,
1741246280011000,24,24,,2,True,random
1741246283108000,21,,,2,True,strategic
1741246286618000,20,,,3,False,
1741246287602000,21,,,2,True,strategic
1741246291218000,16,,,5,False,
1741246292162000,19,,,5,False,
1741246321094000,19,,True,5,False,
1741246321095000,20,,,3,False,
1741246324627000,22,,,5,False,
1741246404682000,23,,,5,False,
1741246407078000,24,,,2,True,random
1741246417818000,25,,,2,True,random
1741246417819000,25,25,,2,True,random
1741246421104000,26,,,1,True,random
1741246421105000,26,26,,1,True,random
1741246422502000,27,27,,2,False,
1741246424290000,28,28,,3,False,
1741246427890000,29,,,1,True,random
1741246427891000,29,29,,1,True,random
1741246433402000,25,,,2,True,random
1741246436652000,22,,,5,False,
1741246438562000,24,,,2,True,random
1741246451690000,25,,,2,True,random
1741246458962000,26,,,1,True,random
1741246461586000,25,,,2,True,random
1741246468076000,22,,,5,False,
1741246469282000,23,,,5,False,
1741246470788000,24,,,2,True,random
1741246473882000,25,,,2,True,random
1741246535901000,26,,,1,True,random
1741246537002000,27,,,2,False,
1741246538090000,28,,,3,False,
1741246539187000,29,,,1,True,random
1741246553709000,28,,,3,False,
1741246555315000,27,,,2,False,
1741246562162000,26,,,1,True,random
1741246563458000,25,,,2,True,random
1741246669669000,26,,,1,True,random
1741246671502000,27,,,2,False,
1741246828434000,25,,,2,True,random
1741246853762000,26,,,1,True,random
1741246855370000,27,,,2,False,
1741246857379000,28,,True,3,False,
1741246858802000,29,,,1,True,random
1741246859851000,25,,,2,True,random
1741246924147000,26,,True,1,True,random
1741246946550000,16,,,5,False,
1741246964178000,16,,True,5,False,
1741246964179000,17,,,3,True,intellectual
1741246968379000,22,,,5,False,
1741246973330000,23,,True,5,False,
1741246974466000,24,,,2,True,random
1741246976861000,24,,True,2,True,random
1741246976862000,25,,,2,True,random
1741246979555000,26,,,1,True,random
1741246994578000,27,,True,2,False,
1741246996302000,28,,,3,False,
1741247034442000,29,,,1,True,random
1741247040290000,29,,True,1,True,random
1741247041483000,28,,,3,False,
1741247042727000,29,,,1,True,random
1741247043562000,28,,,3,False,
1741247117986000,29,,True,1,True,random
1741247125903000,29,,,1,True,random
1741247127642000,29,,,1,True,random
1741247474771000,29,,,1,True,random
